Latitude,Longitude,Date time,Plow status,Spreader status,Engine status,Truck
42.28967,-82.98724,2019-02-18 00:04:22,True,False,True,5334
42.28967,-82.98724,2019-02-18 00:04:23,True,False,True,5334
42.30346,-83.068,2019-02-18 00:04:23,True,False,True,1080
42.30611,-82.97584,2019-02-18 00:04:22,True,True,True,3188
42.29618,-83.03332,2019-02-18 00:04:24,True,False,True,4370
42.32552,-82.92856,2019-02-18 00:04:24,True,True,True,8427
42.26255,-82.92347,2019-02-18 00:04:27,False,True,True,8892
42.27441,-83.02957,2019-02-18 00:04:24,True,True,True,5633
42.27628,-83.00686,2019-02-18 00:04:31,False,True,True,7133
42.30637,-82.92134,2019-02-18 00:04:32,True,False,True,9097
42.29057,-82.98657,2019-02-18 00:04:31,False,True,True,9954
42.28557,-82.96716,2019-02-18 00:04:32,True,False,True,2818
42.30673,-82.97627,2019-02-18 00:04:35,True,True,True,3188
42.30961,-83.04639,2019-02-18 00:04:35,True,False,True,5727
42.28232,-83.01977,2019-02-18 00:04:35,True,False,True,7299
42.29057,-82.98676,2019-02-18 00:04:35,False,True,True,9954
42.32696,-82.92858,2019-02-18 00:04:39,True,True,True,8427
42.29422,-82.92628,2019-02-18 00:04:37,True,False,True,4527
42.30383,-83.06683,2019-02-18 00:04:38,True,False,True,1080
42.29551,-83.03286,2019-02-18 00:04:39,True,False,True,4370
42.29058,-82.98684,2019-02-18 00:04:37,False,True,True,9954
42.26262,-82.92556,2019-02-18 00:04:42,False,True,True,8892
42.29088,-82.98708,2019-02-18 00:04:44,False,True,True,9954
42.30595,-82.9226,2019-02-18 00:04:47,True,False,True,9097
42.28538,-82.96963,2019-02-18 00:04:47,True,False,True,2818
42.31034,-83.04676,2019-02-18 00:04:50,True,False,True,5727
42.28053,-83.01876,2019-02-18 00:04:50,True,False,True,7299
42.30792,-82.97705,2019-02-18 00:04:50,True,True,True,3188
42.29243,-82.92514,2019-02-18 00:04:52,True,False,True,4527
42.30413,-83.0659,2019-02-18 00:04:53,True,False,True,1080
42.32795,-82.92876,2019-02-18 00:04:54,True,True,True,8427
42.29149,-82.98744,2019-02-18 00:04:55,False,True,True,9954
42.28533,-82.97021,2019-02-18 00:04:55,True,False,True,2818
42.26269,-82.92749,2019-02-18 00:04:57,False,True,True,8892
42.28533,-82.97022,2019-02-18 00:04:56,True,False,True,2818
42.27387,-83.02808,2019-02-18 00:05:01,True,True,True,5633
42.30598,-82.92388,2019-02-18 00:05:02,True,False,True,9097
42.28533,-82.97023,2019-02-18 00:05:03,True,False,True,2818
42.28939,-82.98772,2019-02-18 00:05:04,False,True,True,5334
42.27882,-83.01767,2019-02-18 00:05:05,True,False,True,7299
42.3092,-82.97789,2019-02-18 00:05:05,True,True,True,3188
42.31034,-83.04676,2019-02-18 00:05:05,True,False,True,5727
42.29519,-83.03265,2019-02-18 00:05:05,False,True,True,4370
42.28945,-82.98757,2019-02-18 00:05:08,False,True,True,5334
42.29104,-82.92401,2019-02-18 00:05:07,True,False,True,4527
42.29517,-83.03264,2019-02-18 00:05:09,False,True,True,4370
42.28535,-82.97033,2019-02-18 00:05:08,True,False,True,2818
42.3044,-83.06504,2019-02-18 00:05:08,True,False,True,1080
42.32945,-82.92912,2019-02-18 00:05:09,True,True,True,8427
42.29281,-82.98825,2019-02-18 00:05:10,True,True,True,9954
42.27751,-83.0062,2019-02-18 00:05:09,True,True,True,7133
42.28535,-82.97033,2019-02-18 00:05:09,True,True,True,2818
42.26273,-82.92882,2019-02-18 00:05:12,False,True,True,8892
42.27409,-83.02714,2019-02-18 00:05:16,True,True,True,5633
42.29516,-83.03264,2019-02-18 00:05:16,False,True,True,4370
42.31003,-82.97842,2019-02-18 00:05:18,True,True,True,3188
42.28967,-82.98719,2019-02-18 00:05:19,True,True,True,5334
42.27813,-83.01727,2019-02-18 00:05:20,True,False,True,7299
42.31036,-83.04675,2019-02-18 00:05:20,True,False,True,5727
42.31004,-82.97843,2019-02-18 00:05:19,True,False,True,3188
42.31006,-82.97844,2019-02-18 00:05:20,True,False,True,3188
42.31006,-82.97844,2019-02-18 00:05:20,True,False,True,3188
42.31008,-82.97845,2019-02-18 00:05:21,True,True,True,3188
42.29051,-82.92354,2019-02-18 00:05:22,True,False,True,4527
42.28968,-82.98717,2019-02-18 00:05:20,True,False,True,5334
42.28969,-82.98716,2019-02-18 00:05:23,True,False,True,5334
42.27847,-83.00362,2019-02-18 00:05:24,True,True,True,7133
42.30463,-83.06434,2019-02-18 00:05:23,True,False,True,1080
42.28645,-82.97105,2019-02-18 00:05:26,True,True,True,2818
42.29441,-82.98926,2019-02-18 00:05:25,True,True,True,9954
42.331,-82.9295,2019-02-18 00:05:24,True,True,True,8427
42.29514,-83.03263,2019-02-18 00:05:24,False,True,True,4370
42.27427,-83.02633,2019-02-18 00:05:26,True,True,True,5633
42.27431,-83.02615,2019-02-18 00:05:26,True,True,True,5633
42.26275,-82.92996,2019-02-18 00:05:27,False,True,True,8892
42.27439,-83.02579,2019-02-18 00:05:31,True,True,True,5633
42.30685,-82.92421,2019-02-18 00:05:23,True,False,True,9097
42.27726,-83.01682,2019-02-18 00:05:35,True,False,True,7299
42.31037,-83.04676,2019-02-18 00:05:35,True,False,True,5727
42.31082,-82.97892,2019-02-18 00:05:35,True,True,True,3188
42.28693,-82.9712,2019-02-18 00:05:36,True,True,True,2818
42.29051,-82.92353,2019-02-18 00:05:37,True,False,True,4527
42.30766,-82.92473,2019-02-18 00:05:38,True,False,True,9097
42.33259,-82.92988,2019-02-18 00:05:39,True,True,True,8427
42.30486,-83.06363,2019-02-18 00:05:38,True,False,True,1080
42.27965,-83.00073,2019-02-18 00:05:39,True,True,True,7133
42.2958,-82.99016,2019-02-18 00:05:40,True,True,True,9954
42.28693,-82.9712,2019-02-18 00:05:37,True,False,True,2818
42.28697,-82.97114,2019-02-18 00:05:38,True,False,True,2818
42.28697,-82.97114,2019-02-18 00:05:39,True,True,True,2818
42.26281,-82.93163,2019-02-18 00:05:42,False,True,True,8892
42.27469,-83.02442,2019-02-18 00:05:46,True,True,True,5633
42.2871,-82.97082,2019-02-18 00:05:50,True,True,True,2818
42.31052,-83.04686,2019-02-18 00:05:50,True,False,True,5727
42.27591,-83.01596,2019-02-18 00:05:50,True,False,True,7299
42.29527,-83.03116,2019-02-18 00:05:50,False,True,True,4370
42.29052,-82.92354,2019-02-18 00:05:52,True,False,True,4527
42.28712,-82.97079,2019-02-18 00:05:51,True,False,True,2818
42.28713,-82.97077,2019-02-18 00:05:52,True,False,True,2818
42.31201,-82.97969,2019-02-18 00:05:50,True,True,True,3188
42.30825,-82.92511,2019-02-18 00:05:53,True,False,True,9097
42.30517,-83.0627,2019-02-18 00:05:53,True,False,True,1080
42.28036,-82.99783,2019-02-18 00:05:54,True,True,True,7133
42.29716,-82.99104,2019-02-18 00:05:55,True,True,True,9954
42.26287,-82.93359,2019-02-18 00:05:57,False,True,True,8892
42.28946,-82.98765,2019-02-18 00:05:58,True,False,True,5334
42.29732,-82.99114,2019-02-18 00:05:59,True,True,True,9954
42.27494,-83.02319,2019-02-18 00:06:01,True,True,True,5633
42.29733,-82.99115,2019-02-18 00:06:00,True,False,True,9954
42.27488,-83.0153,2019-02-18 00:06:05,True,False,True,7299
42.31324,-82.98048,2019-02-18 00:06:05,True,True,True,3188
42.31157,-83.04758,2019-02-18 00:06:05,True,False,True,5727
42.33359,-82.9315,2019-02-18 00:06:06,True,True,True,8427
42.28715,-82.97071,2019-02-18 00:06:07,True,False,True,2818
42.29039,-82.9234,2019-02-18 00:06:07,True,False,True,4527
42.30914,-82.92567,2019-02-18 00:06:08,True,False,True,9097
42.30545,-83.06169,2019-02-18 00:06:08,True,False,True,1080
42.28946,-82.98762,2019-02-18 00:05:59,True,True,True,5334
42.28946,-82.98759,2019-02-18 00:06:00,True,True,True,5334
42.28945,-82.98756,2019-02-18 00:06:01,True,False,True,5334
42.28559,-82.98349,2019-02-18 00:06:08,True,False,True,7932
42.28093,-82.99471,2019-02-18 00:06:09,True,True,True,7133
42.29735,-82.99116,2019-02-18 00:06:10,True,False,True,9954
42.28565,-82.98353,2019-02-18 00:06:09,True,True,True,7932
42.2892,-82.98739,2019-02-18 00:06:09,True,False,True,5334
42.28915,-82.98736,2019-02-18 00:06:10,True,True,True,5334
42.26294,-82.93569,2019-02-18 00:06:12,False,True,True,8892
42.28586,-82.98366,2019-02-18 00:06:13,True,True,True,7932
42.27517,-83.02198,2019-02-18 00:06:16,True,True,True,5633
42.28893,-82.98723,2019-02-18 00:06:15,True,True,True,5334
42.30562,-83.06118,2019-02-18 00:06:18,True,False,True,1080
42.30562,-83.06118,2019-02-18 00:06:18,True,False,True,1080
42.31271,-83.0483,2019-02-18 00:06:20,True,False,True,5727
42.2906,-82.9225,2019-02-18 00:06:20,True,False,True,4527
42.27359,-83.01438,2019-02-18 00:06:20,True,False,True,7299
42.31451,-82.9813,2019-02-18 00:06:20,True,True,True,3188
42.33357,-82.93368,2019-02-18 00:06:21,True,True,True,8427
42.28715,-82.97072,2019-02-18 00:06:22,True,False,True,2818
42.30973,-82.92599,2019-02-18 00:06:23,True,False,True,9097
42.30565,-83.0611,2019-02-18 00:06:23,True,False,True,1080
42.29064,-82.92241,2019-02-18 00:06:21,True,True,True,4527
42.29079,-82.92199,2019-02-18 00:06:25,True,True,True,4527
42.28152,-82.99166,2019-02-18 00:06:24,True,True,True,7133
42.29735,-82.99117,2019-02-18 00:06:26,True,False,True,9954
42.26312,-82.93764,2019-02-18 00:06:27,False,True,True,8892
42.29742,-82.99119,2019-02-18 00:06:28,True,False,True,9954
42.29745,-82.99121,2019-02-18 00:06:28,True,True,True,9954
42.28833,-82.98684,2019-02-18 00:06:30,True,True,True,5334
42.30569,-83.06099,2019-02-18 00:06:29,True,False,True,1080
